DATE,UNEMPLOY
1988-10-01,6541.0000000000000000
1989-01-01,6415.3333333333333333
1989-04-01,6473.3333333333333333
1989-07-01,6532.0000000000000000
1989-10-01,6674.0000000000000000
1990-01-01,6667.0000000000000000
1990-04-01,6709.6666666666666667
1990-07-01,7159.3333333333333333
1990-10-01,7708.0000000000000000
1991-01-01,8288.6666666666666667
1991-04-01,8622.3333333333333333
1991-07-01,8658.0000000000000000
1991-10-01,8990.3333333333333333
1992-01-01,9399.0000000000000000
1992-04-01,9733.0000000000000000
1992-07-01,9806.0000000000000000
1992-10-01,9506.6666666666666667
1993-01-01,9188.0000000000000000
1993-04-01,9126.6666666666666667
1993-07-01,8802.3333333333333333
1993-10-01,8589.6666666666666667
1994-01-01,8561.0000000000000000
1994-04-01,8057.6666666666666667
1994-07-01,7871.0000000000000000
