Trade Date,Index Value,Net Change,High,Low
8/25/20,385.25872422789,-1.74373656473,389.15790468290,381.01064566801
8/24/20,387.00246079262,1.72803544933,387.80133399273,383.74262747615
8/21/20,385.27442534329,6.17825695091,385.84718528644,377.68743097331
8/20/20,379.09616839238,-0.40506204023,382.30633512132,375.33887344680
8/19/20,379.50123043261,-1.53769022831,381.27785676446,378.41536563202
8/18/20,381.03892066092,-0.22838702393,385.20129098459,380.62949621141
8/17/20,381.26730768485,7.66828065776,382.67022956227,374.90300021366
8/14/20,373.59902702709,-1.42954376696,375.51899006314,371.39510564998
8/13/20,375.02857079405,-1.39249798010,377.09532059335,372.25870914913
8/12/20,376.42106877415,4.15805726872,376.55059727757,372.94934882895
8/11/20,372.26301150543,-2.73312883946,379.84654216072,371.49545194824
8/10/20,374.99614034489,4.85727500799,379.83142108826,370.76225008452
8/7/20,370.13886533690,2.00624598385,370.20916053856,365.49142829161
8/6/20,368.13261935305,-0.08009307415,371.01044168221,367.34925242387
8/5/20,368.21271242720,4.67750077238,368.94092419289,365.02631138310
8/4/20,363.53521165482,-1.26182567581,365.68998906562,362.02723174911
8/3/20,364.79703733063,5.59706937484,365.75052041572,359.49065965606
7/31/20,359.19996795579,-2.96292872539,361.85863157398,353.48773042256
7/30/20,362.16289668118,-2.22533083506,364.07616956981,357.41294455327
7/29/20,364.38822751624,9.35796086861,364.68360553668,357.08617030611
7/28/20,355.03026664763,-9.38317743305,368.12935495370,354.45939230120
7/27/20,364.41344408068,11.10447676987,364.76569464422,353.52006422669
7/24/20,353.30896731081,0.69320266067,354.68967437193,347.74311155803
7/23/20,352.61576465014,0.41734422605,360.80010528011,348.61555016136
7/22/20,352.19842042409,10.11387227287,352.93071067486,341.60569289139
7/21/20,342.08454815122,0.53632628849,343.06875310837,339.21488204729
7/20/20,341.54822186273,-0.32052435089,342.35653060103,338.21539016341
7/17/20,341.86874621362,2.14112094397,345.98902103397,340.82142756779
7/16/20,339.72762526965,5.89122235584,340.01518316977,331.31945173821
7/15/20,333.83640291381,8.30861891234,335.39921703135,328.87372715938
7/14/20,325.52778400147,11.69781181243,325.62344387304,312.64306201646
7/13/20,313.82997218904,-6.52316850040,325.33115533474,313.65070056370
7/10/20,320.35314068944,6.39996655799,320.59609810656,314.16211809988
